id,categoria,pregunta,respuesta,contexto
168,Medicamentos,¿Cuánta aspirina le doy a un paciente con infarto?,"En IAM se da aspirina 150-300 mg como carga oral, preferiblemente masticada si procede, y luego 75-100 mg/día de mantenimiento. Evítala si hay alergia verdadera o sangrado activo relevante.","En el síndrome coronario agudo y el infarto agudo de miocardio, la aspirina se administra precozmente si no hay alergia verdadera ni sangrado activo. Se usa como dosis de carga oral y después como antiagregación de mantenimiento dentro de la estrategia antitrombótica."
169,Medicamentos,¿Qué dosis de ticagrelor uso en un síndrome coronario agudo?,"Ticagrelor se carga con 180 mg y luego 90 mg cada 12 h junto a aspirina, salvo contraindicaciones. Vigila sangrado, disnea y bradicardia; ajusta estrategia si necesita anticoagulación.","En el síndrome coronario agudo, ticagrelor es un inhibidor P2Y12 utilizado en doble antiagregación con aspirina cuando no existe contraindicación. Deben valorarse sangrado, disnea, bradicardia, necesidad de anticoagulación y duración prevista de la doble antiagregación."
178,Medicamentos,¿Cuándo puedo empezar un betabloqueante después de un infarto?,"Puedes iniciar betabloqueante si está estable, sin shock, sin bradicardia importante ni bloqueo avanzado. Es especialmente importante si hay FEVI reducida, angina o arritmias.","Tras un infarto agudo de miocardio, los betabloqueantes se consideran si el paciente está hemodinámicamente estable, especialmente si hay FEVI reducida, angina, hipertensión o arritmias. Deben evitarse o retrasarse en shock, insuficiencia cardiaca aguda descompensada, bradicardia marcada o bloqueo AV avanzado."
179,Medicamentos,¿Cómo inicio el bisoprolol en insuficiencia cardiaca?,"Empieza bajo y sube progresivo si no está congestionado ni hipotenso. Vigila frecuencia, presión, síntomas y descompensación; no se titula agresivamente en fase inestable.","Bisoprolol es un betabloqueante con evidencia en insuficiencia cardiaca con FEVI reducida. Debe iniciarse a dosis baja y titularse de forma progresiva hasta la dosis objetivo o máxima tolerada, vigilando presión arterial, frecuencia cardiaca, congestión y signos de descompensación."
188,Medicamentos,¿Qué dosis de amiodarona puedo usar si el paciente está en fibrilación auricular?,"Amiodarona es eficaz, pero no inocua. Úsala si el beneficio supera riesgos y controla TSH, transaminasas, toxicidad pulmonar, QT e interacciones anticoagulantes.","Amiodarona puede emplearse para control del ritmo en fibrilación auricular, sobre todo cuando existe cardiopatía estructural o insuficiencia cardiaca donde otros antiarrítmicos son menos adecuados. Requiere vigilancia de QT, función tiroidea, hepática y pulmonar, además de interacciones con anticoagulantes y otros fármacos."
189,Medicamentos,¿Puedo darle verapamilo o diltiazem a este paciente con fibrilación auricular?,"Si FEVI reducida, evita verapamilo/diltiazem. En FA estable sin disfunción sistólica pueden servir para frecuencia, vigilando presión y bradicardia.","Verapamilo y diltiazem son calcioantagonistas no dihidropiridínicos útiles para control de frecuencia en fibrilación auricular estable con función sistólica conservada. Deben evitarse en insuficiencia cardiaca con FEVI reducida, hipotensión, bradicardia significativa o bloqueo AV avanzado por su efecto inotrópico y cronotrópico negativo."
191,Medicamentos,¿Qué dosis de apixabán le corresponde a un paciente con fibrilación auricular?,"No lo dosifiques “de memoria” sin datos. En FA suele ser 5 mg cada 12 h, con reducción a 2,5 mg cada 12 h si cumple criterios específicos de edad, peso y creatinina.","Apixabán es un anticoagulante oral directo usado principalmente en fibrilación auricular no valvular y tromboembolismo venoso. La dosis depende de la indicación, edad, peso, creatinina, función renal e interacciones; no debe reducirse empíricamente si no se cumplen criterios específicos."
192,Medicamentos,¿Cuándo tengo que ajustar o evitar rivaroxabán?,En FA suele ser 20 mg una vez al día con comida si función renal adecuada; se reduce con insuficiencia renal según ficha técnica. Revisa filtrado e interacciones.,"Rivaroxabán es un anticoagulante oral directo usado en fibrilación auricular no valvular y enfermedad tromboembólica. En fibrilación auricular la dosis depende de la función renal y debe administrarse según ficha técnica, habitualmente con comida para mejorar absorción; debe evitarse en válvula mecánica o estenosis mitral moderada-severa."
198,Medicamentos,¿Qué hago si el amlodipino le está dando edema en los tobillos?,"Amlodipino puede dar edema de tobillos. Si molesta, ajusta dosis o combina/cambia fármaco; no asumas que todo edema es insuficiencia cardiaca.","Amlodipino es un calcioantagonista dihidropiridínico usado en hipertensión arterial y angina. El edema maleolar es un efecto adverso frecuente por vasodilatación precapilar y no siempre indica insuficiencia cardiaca; puede requerir reducción de dosis, combinación con IECA/ARA-II o cambio terapéutico."
199,Medicamentos,¿Cómo uso hidroclorotiazida o clortalidona para la hipertensión?,"Sirven para HTA, sobre todo en combinación. Controla sodio, potasio, función renal, uricemia y glucosa, especialmente en ancianos.","Hidroclorotiazida y clortalidona son diuréticos tiazídicos o similares utilizados en hipertensión, a menudo en combinación con IECA, ARA-II o calcioantagonistas. Requieren control de sodio, potasio, función renal, ácido úrico y glucosa, especialmente en ancianos, enfermedad renal o polifarmacia."
208,Medicamentos,¿Cuánta colchicina doy en una pericarditis?,"Colchicina ayuda a reducir recaídas en pericarditis. Revisa función renal, peso, interacciones y efectos digestivos; no la uses si hay contraindicación clara.","La colchicina se usa en pericarditis aguda y recurrente como complemento del antiinflamatorio cuando no está contraindicada, porque reduce el riesgo de recaídas. La dosis debe ajustarse al peso, tolerancia digestiva, función renal o hepática e interacciones, especialmente con macrólidos, verapamilo, diltiazem o inhibidores potentes de CYP3A4/P-gp."
209,Medicamentos,¿Qué AINE doy para una pericarditis y durante cuánto tiempo?,"Si es pericarditis típica y no hay contraindicación, AINE/aspirina más colchicina suele ser el esquema. Ajusta según riñón, sangrado, anticoagulación y causa.","En la pericarditis aguda idiopática o viral, aspirina o AINE constituyen el tratamiento antiinflamatorio inicial si no hay contraindicaciones, generalmente junto con colchicina y gastroprotección cuando procede. La elección y dosis dependen de riesgo hemorrágico, función renal, anticoagulación, cardiopatía isquémica y etiología sospechada."
217,Medicamentos,¿Qué dosis de heparina uso en un síndrome coronario agudo?,"Sí, en SCA suele indicarse anticoagulación aguda, especialmente si va a cateterismo. La dosis y el tipo dependen de función renal, estrategia invasiva y riesgo de sangrado.","En el síndrome coronario agudo, la anticoagulación parenteral se utiliza durante la fase aguda y en el contexto de estrategia invasiva o intervencionismo. La elección y dosis de heparina no fraccionada, enoxaparina, fondaparinux u otros dependen de función renal, tipo de SCA, riesgo hemorrágico y procedimiento previsto."
218,Medicamentos,¿Puedo darle nitroglicerina a un paciente con dolor torácico?,"Puedes dar nitroglicerina si hay dolor isquémico y presión adecuada. Evítala si está hipotenso, sospecha VD, estenosis aórtica crítica o tomó sildenafil/tadalafil recientemente.","La nitroglicerina puede aliviar dolor isquémico, hipertensión o congestión si la presión arterial lo permite. Está contraindicada o debe evitarse en hipotensión, sospecha de infarto de ventrículo derecho, estenosis aórtica crítica o uso reciente de inhibidores de fosfodiesterasa tipo 5 como sildenafil o tadalafil."
227,Medicamentos,¿Cómo empiezo sacubitrilo/valsartán en insuficiencia cardiaca?,"ARNI se usa en IC con FEVI reducida si la presión lo permite. Si venía con IECA, deja 36 h de lavado antes de iniciar sacubitril/valsartán.","Sacubitril/valsartán es un ARNI indicado en insuficiencia cardiaca con FEVI reducida para reducir hospitalizaciones y mortalidad cuando el paciente lo tolera. Antes de iniciarlo tras un IECA se requiere lavado de 36 horas; deben vigilarse presión arterial, potasio, función renal y antecedentes de angioedema."
