id,categoria,pregunta,respuesta,contexto
1,Síntomas,¿Cuáles son los síntomas del infarto agudo de miocardio?,"Dolor torácico intenso con sensación de opresión en el centro del pecho que dura más de 20 minutos, irradiación al brazo izquierdo, mandíbula, cuello o espalda, sudoración fría, náuseas, vómitos y disnea.","El infarto agudo de miocardio se presenta con dolor torácico intenso con sensación de opresión o presión en el centro del pecho que dura más de 20 minutos, irradiación del dolor al brazo izquierdo, mandíbula, cuello o espalda, sudoración fría, náuseas, vómitos, disnea y sensación de muerte inminente."
2,Síntomas,¿Cómo se presenta el infarto en diabéticos y ancianos?,"En diabéticos y ancianos el infarto puede presentarse de forma atípica sin dolor precordial, con fatiga, disnea o malestar general.","En diabéticos y ancianos el infarto agudo de miocardio puede presentarse de forma atípica sin dolor precordial, con fatiga, disnea o malestar general."
3,Síntomas,¿Cuánto dura el dolor en el infarto comparado con la angina?,En el infarto el dolor dura más de 20 minutos. La angina dura menos de 10 minutos y cede con nitroglicerina o reposo.,El dolor anginoso dura menos de 10 minutos y cede con nitroglicerina o reposo. El dolor en el infarto agudo de miocardio dura más de 20 minutos.
4,Síntomas,¿Cómo es el dolor torácico de origen cardíaco?,"Se describe como presión u opresión en el centro del pecho, que puede irradiarse al brazo izquierdo, mandíbula o espalda.","El dolor torácico de origen cardíaco se describe típicamente como una presión o opresión en el centro del pecho, que puede irradiarse al brazo izquierdo, mandíbula o espalda."
5,Síntomas,¿Qué es la disnea cardiogénica?,Es la dificultad para respirar de origen cardíaco. Aparece con el esfuerzo en estadios iniciales y en reposo en fases avanzadas de insuficiencia cardíaca.,La disnea cardiogénica aparece con el esfuerzo en estadios iniciales y en reposo en fases avanzadas de insuficiencia cardíaca.
6,Síntomas,¿Qué es la ortopnea?,Disnea que aparece al tumbarse y mejora al incorporarse. Es característica de la insuficiencia cardíaca.,La ortopnea es la disnea que aparece al tumbarse y mejora incorporándose.
7,Síntomas,¿Qué es la disnea paroxística nocturna?,Crisis de dificultad respiratoria que despierta al paciente de madrugada con sensación de ahogo.,La disnea paroxística nocturna despierta al paciente de madrugada con sensación de ahogo.
8,Síntomas,¿Qué son las palpitaciones y qué pueden indicar?,"Percepción anormal del propio latido cardíaco. Pueden indicar fibrilación auricular, taquicardia ventricular, flutter auricular o extrasístoles.","Las palpitaciones son la percepción anormal del propio latido cardíaco. Pueden indicar taquicardia sinusal, fibrilación auricular, flutter auricular, taquicardia ventricular o extrasístoles."
9,Síntomas,¿Cómo se perciben las extrasístoles?,Como un latido fuerte seguido de una pausa.,Las extrasístoles se perciben como un latido fuerte seguido de pausa.
10,Síntomas,¿Qué sugieren las palpitaciones de inicio y fin bruscos?,Sugieren taquicardia paroxística supraventricular.,Las palpitaciones de inicio y fin bruscos sugieren taquicardia paroxística supraventricular.
11,Síntomas,¿Qué es el síncope cardiogénico?,Pérdida de conciencia brusca y breve por hipoperfusión cerebral transitoria de origen cardíaco.,El síncope cardiogénico es una pérdida de conciencia brusca y breve por hipoperfusión cerebral transitoria.
12,Síntomas,¿Cómo es el edema de origen cardíaco?,"Bilateral, declive, con fóvea, empeora a lo largo del día. Comienza en tobillos y asciende en casos graves.","El edema de origen cardíaco es bilateral, declive, con fóvea, y empeora a lo largo del día. Comienza en tobillos y asciende hasta muslos y región sacra en casos graves."
13,Síntomas,¿Qué indica la cianosis central?,Hipoxemia grave con saturación de oxígeno inferior al 85%.,La cianosis central indica hipoxemia grave con saturación de oxígeno inferior al 85%.
14,Síntomas,¿Qué indica la presión venosa yugular elevada?,Sobrecarga de volumen o insuficiencia cardíaca derecha.,La presión venosa yugular elevada indica sobrecarga de volumen o insuficiencia cardíaca derecha.
15,Medicamentos,¿Qué es el amlodipino y cuál es su dosis?,"Calcioantagonista dihidropiridínico para hipertensión y angina. Dosis inicial 5 mg al día, máximo 10 mg al día en una sola toma.",El amlodipino es un calcioantagonista dihidropiridínico indicado en hipertensión arterial y angina de pecho estable. La dosis inicial es de 5 mg al día y la dosis máxima es de 10 mg al día en una sola toma.
16,Medicamentos,¿Qué efectos adversos tiene el amlodipino?,Los más frecuentes son el edema maleolar y el rubor facial.,Los efectos adversos más frecuentes del amlodipino son el edema maleolar y el rubor facial.
17,Medicamentos,¿Cuándo están contraindicados el verapamilo y el diltiazem?,El verapamilo está contraindicado en la insuficiencia cardíaca con fracción de eyección reducida y en el síndrome de Wolff-Parkinson-White.,El verapamilo está contraindicado en la insuficiencia cardíaca con fracción de eyección reducida y en el síndrome de Wolff-Parkinson-White.
18,Medicamentos,¿Qué es el losartán y para qué se usa?,"Antagonista del receptor de angiotensina II indicado en hipertensión arterial, insuficiencia cardíaca y nefropatía diabética. Dosis habitual de 50 a 100 mg al día.","El losartán es un antagonista del receptor de angiotensina II indicado en hipertensión arterial, insuficiencia cardíaca y nefropatía diabética. La dosis habitual es de 50 a 100 mg al día."
19,Medicamentos,¿Cuándo se usan los ARA-II en lugar de los IECA?,Los ARA-II son la alternativa a los IECA cuando estos producen tos seca. La combinación de ambos está contraindicada por riesgo de hiperpotasemia e insuficiencia renal aguda.,Los ARA-II son la alternativa a los IECA cuando estos producen tos seca. La combinación de IECA y ARA-II está contraindicada por riesgo de hiperpotasemia e insuficiencia renal aguda.
